01:55:30.333416 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31978 rtt_min_us>31440 rtt_max_us>32997 cwnd>58 cwnd_min>57 cwnd_max>58 rate_avg_kbps>19435.310 rate_min_kbps>18867.120 rate_max_kbps>20034.968 alpha_avg>0.004675 alpha_min>0.004324 alpha_max>0.005246 inflight>19 sent>53 lost>0 total_lost>0
01:55:30.435126 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>33557 rtt_min_us>31440 rtt_max_us>35850 cwnd>60 cwnd_min>58 cwnd_max>60 rate_avg_kbps>19063.983 rate_min_kbps>17700.144 rate_max_kbps>20034.968 alpha_avg>0.003871 alpha_min>0.003564 alpha_max>0.004324 inflight>18 sent>53 lost>0 total_lost>0
01:55:30.536834 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>33832 rtt_min_us>32015 rtt_max_us>36567 cwnd>62 cwnd_min>60 cwnd_max>62 rate_avg_kbps>19445.539 rate_min_kbps>18045.448 rate_max_kbps>20406.232 alpha_avg>0.003213 alpha_min>0.002937 alpha_max>0.003564 inflight>18 sent>53 lost>0 total_lost>0
01:55:30.638535 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>33320 rtt_min_us>31805 rtt_max_us>34995 cwnd>63 cwnd_min>62 cwnd_max>63 rate_avg_kbps>20255.914 rate_min_kbps>19124.344 rate_max_kbps>21308.224 alpha_avg>0.002683 alpha_min>0.002421 alpha_max>0.002937 inflight>20 sent>53 lost>0 total_lost>0
01:55:30.740247 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>33621 rtt_min_us>32288 rtt_max_us>35870 cwnd>65 cwnd_min>63 cwnd_max>65 rate_avg_kbps>20598.574 rate_min_kbps>19060.704 rate_max_kbps>21711.416 alpha_avg>0.002223 alpha_min>0.001997 alpha_max>0.002421 inflight>17 sent>53 lost>0 total_lost>0
01:55:30.841952 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>32843 rtt_min_us>31682 rtt_max_us>34404 cwnd>67 cwnd_min>65 cwnd_max>67 rate_avg_kbps>21627.058 rate_min_kbps>20813.848 rate_max_kbps>22441.504 alpha_avg>0.001829 alpha_min>0.001647 alpha_max>0.001997 inflight>17 sent>53 lost>0 total_lost>0
01:55:30.943666 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>32375 rtt_min_us>31945 rtt_max_us>32998 cwnd>68 cwnd_min>67 cwnd_max>68 rate_avg_kbps>22493.159 rate_min_kbps>21790.632 rate_max_kbps>22930.320 alpha_avg>0.001503 alpha_min>0.001359 alpha_max>0.001647 inflight>18 sent>53 lost>0 total_lost>0
01:55:31.045369 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>33058 rtt_min_us>32204 rtt_max_us>34408 cwnd>70 cwnd_min>68 cwnd_max>70 rate_avg_kbps>22578.323 rate_min_kbps>21500.936 rate_max_kbps>23412.032 alpha_avg>0.001240 alpha_min>0.001121 alpha_max>0.001359 inflight>17 sent>53 lost>0 total_lost>0
01:55:31.147080 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>32625 rtt_min_us>32074 rtt_max_us>33743 cwnd>72 cwnd_min>70 cwnd_max>72 rate_avg_kbps>23428.558 rate_min_kbps>22678.048 rate_max_kbps>23766.896 alpha_avg>0.001026 alpha_min>0.000925 alpha_max>0.001121 inflight>19 sent>53 lost>0 total_lost>0
01:55:31.248790 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>39179 rtt_min_us>33197 rtt_max_us>43289 cwnd>73 cwnd_min>72 cwnd_max>73 rate_avg_kbps>20030.711 rate_min_kbps>18130.096 rate_max_kbps>23277.048 alpha_avg>0.000867 alpha_min>0.000814 alpha_max>0.000925 inflight>22 sent>53 lost>0 total_lost>0
