05:58:28.745677 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31356 rtt_min_us>31304 rtt_max_us>31406 cwnd>55 cwnd_min>53 cwnd_max>55 rate_avg_kbps>18626.993 rate_min_kbps>18291.168 rate_max_kbps>18924.920 alpha_avg>0.002233 alpha_min>0.002020 alpha_max>0.002450 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.847376 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31378 rtt_min_us>31292 rtt_max_us>31447 cwnd>57 cwnd_min>55 cwnd_max>57 rate_avg_kbps>19216.950 rate_min_kbps>18924.920 rate_max_kbps>19529.192 alpha_avg>0.001828 alpha_min>0.001665 alpha_max>0.002020 inflight>17 sent>53 lost>0 total_lost>0
05:58:28.949081 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31361 rtt_min_us>31295 rtt_max_us>31416 cwnd>59 cwnd_min>57 cwnd_max>59 rate_avg_kbps>19829.935 rate_min_kbps>19529.192 rate_max_kbps>20096.072 alpha_avg>0.001497 alpha_min>0.001373 alpha_max>0.001665 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.050800 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31436 rtt_min_us>31375 rtt_max_us>31513 cwnd>60 cwnd_min>59 cwnd_max>60 rate_avg_kbps>20383.269 rate_min_kbps>20096.072 rate_max_kbps>20648.824 alpha_avg>0.001225 alpha_min>0.001132 alpha_max>0.001373 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.152502 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31607 rtt_min_us>31424 rtt_max_us>31954 cwnd>62 cwnd_min>60 cwnd_max>62 rate_avg_kbps>20868.479 rate_min_kbps>20458.904 rate_max_kbps>21284.056 alpha_avg>0.001003 alpha_min>0.000934 alpha_max>0.001132 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.254205 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31438 rtt_min_us>31361 rtt_max_us>31612 cwnd>64 cwnd_min>62 cwnd_max>64 rate_avg_kbps>21579.110 rate_min_kbps>21284.056 rate_max_kbps>21842.128 alpha_avg>0.000820 alpha_min>0.000723 alpha_max>0.000934 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.355908 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31473 rtt_min_us>31389 rtt_max_us>31646 cwnd>65 cwnd_min>64 cwnd_max>65 rate_avg_kbps>22154.015 rate_min_kbps>21836.776 rate_max_kbps>22381.936 alpha_avg>0.000671 alpha_min>0.000597 alpha_max>0.000723 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.457631 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31682 rtt_min_us>31513 rtt_max_us>32105 cwnd>67 cwnd_min>65 cwnd_max>67 rate_avg_kbps>22599.509 rate_min_kbps>22381.936 rate_max_kbps>22899.280 alpha_avg>0.000551 alpha_min>0.000493 alpha_max>0.000597 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.559333 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31702 rtt_min_us>31528 rtt_max_us>32376 cwnd>69 cwnd_min>67 cwnd_max>69 rate_avg_kbps>23176.306 rate_min_kbps>22477.456 rate_max_kbps>23548.344 alpha_avg>0.000452 alpha_min>0.000407 alpha_max>0.000493 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.661022 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31475 rtt_min_us>31358 rtt_max_us>31636 cwnd>71 cwnd_min>69 cwnd_max>71 rate_avg_kbps>23939.681 rate_min_kbps>23519.376 rate_max_kbps>24322.040 alpha_avg>0.000371 alpha_min>0.000337 alpha_max>0.000407 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.762758 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31387 rtt_min_us>31341 rtt_max_us>31441 cwnd>72 cwnd_min>71 cwnd_max>72 rate_avg_kbps>24607.700 rate_min_kbps>24317.664 rate_max_kbps>24913.600 alpha_avg>0.000304 alpha_min>0.000278 alpha_max>0.000337 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.864442 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31480 rtt_min_us>31377 rtt_max_us>31678 cwnd>74 cwnd_min>72 cwnd_max>74 rate_avg_kbps>25134.651 rate_min_kbps>24913.600 rate_max_kbps>25360.680 alpha_avg>0.000250 alpha_min>0.000230 alpha_max>0.000278 inflight>17 sent>53 lost>0 total_lost>0
05:58:29.966150 PRAGUEINFO flow>4 window>0.102 samples>55 state>cong_avoid rtt_avg_us>31641 rtt_min_us>31444 rtt_max_us>31895 cwnd>75 cwnd_min>74 cwnd_max>75 rate_avg_kbps>25477.654 rate_min_kbps>25279.024 rate_max_kbps>25746.152 alpha_avg>0.002406 alpha_min>0.000216 alpha_max>0.003878 inflight>17 sent>53 lost>0 total_lost>0
05:58:30.067854 PRAGUEINFO flow>4 window>0.102 samples>55 state>in_cwr rtt_avg_us>31598 rtt_min_us>31469 rtt_max_us>31819 cwnd>76 cwnd_min>75 cwnd_max>76 rate_avg_kbps>25765.683 rate_min_kbps>25467.040 rate_max_kbps>25889.040 alpha_avg>0.003272 alpha_min>0.002996 alpha_max>0.006485 inflight>17 sent>53 lost>0 total_lost>0
